date,bank,rate,value
1997-01-01,commercial,fdr_1mo,7.16
1998-01-01,commercial,fdr_1mo,8.86
1999-01-01,commercial,fdr_1mo,5.72
2000-01-01,commercial,fdr_1mo,3.24
2001-01-01,commercial,fdr_1mo,3.44
2002-01-01,commercial,fdr_1mo,3.2
2003-01-01,commercial,fdr_1mo,3.2
2004-01-01,commercial,fdr_1mo,3.0
2005-01-01,commercial,fdr_1mo,3.0
2006-01-01,commercial,fdr_1mo,3.01
2007-01-01,commercial,fdr_1mo,3.11
2008-01-01,commercial,fdr_1mo,3.08
2009-01-01,commercial,fdr_1mo,2.54
2010-01-01,commercial,fdr_1mo,2.0
2011-01-01,commercial,fdr_1mo,2.71
2012-01-01,commercial,fdr_1mo,2.93
2013-01-01,commercial,fdr_1mo,2.91
2014-01-01,commercial,fdr_1mo,2.9129629629629625
2015-01-01,commercial,fdr_1mo,3.084
2016-01-01,commercial,fdr_1mo,3.08
2017-01-01,commercial,fdr_1mo,2.8688458333333338
2018-01-01,commercial,fdr_1mo,2.945416666666667
2019-01-01,commercial,fdr_1mo,3.0939130434782607
2020-01-01,commercial,fdr_1mo,2.610869565217392
2021-01-01,commercial,fdr_1mo,1.5086956521739128
2022-01-01,commercial,fdr_1mo,1.478695652173913
2023-01-01,commercial,fdr_1mo,2.3586956521739126
2024-01-01,commercial,fdr_1mo,2.659230434782609
1997-01-01,commercial,fdr_3mo,7.22
1998-01-01,commercial,fdr_3mo,9.09
1999-01-01,commercial,fdr_3mo,5.72
2000-01-01,commercial,fdr_3mo,3.3200000000000003
2001-01-01,commercial,fdr_3mo,3.46
2002-01-01,commercial,fdr_3mo,3.21
2003-01-01,commercial,fdr_3mo,3.21
2004-01-01,commercial,fdr_3mo,3.0
2005-01-01,commercial,fdr_3mo,3.0
2006-01-01,commercial,fdr_3mo,3.03
2007-01-01,commercial,fdr_3mo,3.19
2008-01-01,commercial,fdr_3mo,3.15
2009-01-01,commercial,fdr_3mo,2.54
2010-01-01,commercial,fdr_3mo,2.03
2011-01-01,commercial,fdr_3mo,2.74
2012-01-01,commercial,fdr_3mo,2.99
2013-01-01,commercial,fdr_3mo,2.97
2014-01-01,commercial,fdr_3mo,2.97037037037037
2015-01-01,commercial,fdr_3mo,3.133846153846154
2016-01-01,commercial,fdr_3mo,3.1319
2017-01-01,commercial,fdr_3mo,2.9244000000000003
2018-01-01,commercial,fdr_3mo,3.0116
2019-01-01,commercial,fdr_3mo,3.1654125
2020-01-01,commercial,fdr_3mo,2.6796166666666665
2021-01-01,commercial,fdr_3mo,1.570833333333333
2022-01-01,commercial,fdr_3mo,1.55375
2023-01-01,commercial,fdr_3mo,2.5033333333333334
2024-01-01,commercial,fdr_3mo,2.6870833333333337
1997-01-01,commercial,fdr_6mo,7.24
1998-01-01,commercial,fdr_6mo,9.25
1999-01-01,commercial,fdr_6mo,5.67
2000-01-01,commercial,fdr_6mo,3.44
2001-01-01,commercial,fdr_6mo,3.52
2002-01-01,commercial,fdr_6mo,3.23
2003-01-01,commercial,fdr_6mo,3.21
2004-01-01,commercial,fdr_6mo,3.01
2005-01-01,commercial,fdr_6mo,3.0
2006-01-01,commercial,fdr_6mo,3.0500000000000003
2007-01-01,commercial,fdr_6mo,3.34
2008-01-01,commercial,fdr_6mo,3.29
2009-01-01,commercial,fdr_6mo,2.56
2010-01-01,commercial,fdr_6mo,2.04
2011-01-01,commercial,fdr_6mo,2.79
2012-01-01,commercial,fdr_6mo,3.0500000000000003
2013-01-01,commercial,fdr_6mo,3.02
2014-01-01,commercial,fdr_6mo,3.0198777777777783
2015-01-01,commercial,fdr_6mo,3.186026923076923
2016-01-01,commercial,fdr_6mo,3.1841
2017-01-01,commercial,fdr_6mo,2.9767999999999994
2018-01-01,commercial,fdr_6mo,3.0672
2019-01-01,commercial,fdr_6mo,3.222499999999999
2020-01-01,commercial,fdr_6mo,2.7233333333333327
2021-01-01,commercial,fdr_6mo,1.6329166666666666
2022-01-01,commercial,fdr_6mo,1.6391666666666664
2023-01-01,commercial,fdr_6mo,2.599166666666666
2024-01-01,commercial,fdr_6mo,2.7479166666666663
1997-01-01,commercial,fdr_9mo,7.24
1998-01-01,commercial,fdr_9mo,9.3
1999-01-01,commercial,fdr_9mo,5.66
2000-01-01,commercial,fdr_9mo,3.65
2001-01-01,commercial,fdr_9mo,3.69
2002-01-01,commercial,fdr_9mo,3.34
2003-01-01,commercial,fdr_9mo,3.29
2004-01-01,commercial,fdr_9mo,3.03
2005-01-01,commercial,fdr_9mo,3.0
2006-01-01,commercial,fdr_9mo,3.09
2007-01-01,commercial,fdr_9mo,3.45
2008-01-01,commercial,fdr_9mo,3.38
2009-01-01,commercial,fdr_9mo,2.57
2010-01-01,commercial,fdr_9mo,2.05
2011-01-01,commercial,fdr_9mo,2.82
2012-01-01,commercial,fdr_9mo,3.09
2013-01-01,commercial,fdr_9mo,3.0500000000000003
2014-01-01,commercial,fdr_9mo,3.045062962962962
2015-01-01,commercial,fdr_9mo,3.2250000000000005
2016-01-01,commercial,fdr_9mo,3.2256
2017-01-01,commercial,fdr_9mo,3.0208
2018-01-01,commercial,fdr_9mo,3.0924
2019-01-01,commercial,fdr_9mo,3.265416666666667
2020-01-01,commercial,fdr_9mo,2.793333333333333
2021-01-01,commercial,fdr_9mo,1.6729166666666668
2022-01-01,commercial,fdr_9mo,1.6695833333333334
2023-01-01,commercial,fdr_9mo,2.6558333333333333
2024-01-01,commercial,fdr_9mo,2.865833333333333
1997-01-01,commercial,fdr_12mo,7.26
1998-01-01,commercial,fdr_12mo,9.36
1999-01-01,commercial,fdr_12mo,5.66
2000-01-01,commercial,fdr_12mo,3.94
2001-01-01,commercial,fdr_12mo,4.24
2002-01-01,commercial,fdr_12mo,4.0
2003-01-01,commercial,fdr_12mo,4.0
2004-01-01,commercial,fdr_12mo,3.7
2005-01-01,commercial,fdr_12mo,3.7
2006-01-01,commercial,fdr_12mo,3.7
2007-01-01,commercial,fdr_12mo,3.72
2008-01-01,commercial,fdr_12mo,3.7
2009-01-01,commercial,fdr_12mo,3.02
2010-01-01,commercial,fdr_12mo,2.5
2011-01-01,commercial,fdr_12mo,2.97
2012-01-01,commercial,fdr_12mo,3.21
2013-01-01,commercial,fdr_12mo,3.15
2014-01-01,commercial,fdr_12mo,3.1477777777777782
2015-01-01,commercial,fdr_12mo,3.310384615384616
2016-01-01,commercial,fdr_12mo,3.3092
2017-01-01,commercial,fdr_12mo,3.087200000000001
2018-01-01,commercial,fdr_12mo,3.1623999999999994
2019-01-01,commercial,fdr_12mo,3.327083333333334
2020-01-01,commercial,fdr_12mo,2.872916666666667
2021-01-01,commercial,fdr_12mo,1.7541666666666664
2022-01-01,commercial,fdr_12mo,1.711666666666667
2023-01-01,commercial,fdr_12mo,2.699583333333333
2024-01-01,commercial,fdr_12mo,2.856521739130435
2023-01-01,commercial,wafdr_1mo,2.368892199406939
2024-01-01,commercial,wafdr_1mo,2.5075063791139125
2023-01-01,commercial,wafdr_3mo,2.529024440806304
2024-01-01,commercial,wafdr_3mo,2.59711503274279
2023-01-01,commercial,wafdr_6mo,2.6528634560947757
2024-01-01,commercial,wafdr_6mo,2.645926956396284
2023-01-01,commercial,wafdr_9mo,2.679835809252144
2024-01-01,commercial,wafdr_9mo,2.6525779042879782
2023-01-01,commercial,wafdr_12mo,2.694104183667483
2024-01-01,commercial,wafdr_12mo,2.7043872474769466
1997-01-01,commercial,sr,4.12
1998-01-01,commercial,sr,4.27
1999-01-01,commercial,sr,3.81
2000-01-01,commercial,sr,2.7
2001-01-01,commercial,sr,2.7
2002-01-01,commercial,sr,2.3000000000000003
2003-01-01,commercial,sr,2.1
2004-01-01,commercial,sr,1.83
2005-01-01,commercial,sr,1.6
2006-01-01,commercial,sr,1.42
2007-01-01,commercial,sr,1.46
2008-01-01,commercial,sr,1.43
2009-01-01,commercial,sr,1.25
2010-01-01,commercial,sr,0.86
2011-01-01,commercial,sr,1.01
2012-01-01,commercial,sr,1.05
2013-01-01,commercial,sr,1.0
2014-01-01,commercial,sr,0.9837130434782608
2015-01-01,commercial,sr,1.0662318181818182
2016-01-01,commercial,sr,1.0286
2017-01-01,commercial,sr,0.9575666666666668
2018-01-01,commercial,sr,0.9872285714285716
2019-01-01,commercial,sr,1.0653238095238096
2020-01-01,commercial,sr,0.8945666666666667
2021-01-01,commercial,sr,0.4705047619047618
2022-01-01,commercial,sr,0.5644142857142859
2023-01-01,commercial,sr,0.8545550000000001
2024-01-01,commercial,sr,0.93023
2023-01-01,commercial,wasr,0.4166762164998339
2024-01-01,commercial,wasr,0.4335790712328689
2023-01-01,commercial,br,3.462777777777778
2024-01-01,commercial,br,3.7127777777777786
2015-01-01,commercial,wabr,3.81
2016-01-01,commercial,wabr,3.7712649047850273
2017-01-01,commercial,wabr,3.618048468990806
2018-01-01,commercial,wabr,3.7571304654309943
2019-01-01,commercial,wabr,3.917292386048565
2020-01-01,commercial,wabr,3.4254351776326293
2021-01-01,commercial,wabr,2.424619262720584
2022-01-01,commercial,wabr,2.427501415777185
2023-01-01,commercial,wabr,3.419841117629545
2024-01-01,commercial,wabr,3.665903774804511
1997-01-01,commercial,blr,9.19
1998-01-01,commercial,blr,10.44
1999-01-01,commercial,blr,8.04
2000-01-01,commercial,blr,6.79
2001-01-01,commercial,blr,6.79
2002-01-01,commercial,blr,6.390000000000001
2003-01-01,commercial,blr,6.390000000000001
2004-01-01,commercial,blr,6.0
2005-01-01,commercial,blr,5.98
2006-01-01,commercial,blr,6.21
2007-01-01,commercial,blr,6.72
2008-01-01,commercial,blr,6.72
2009-01-01,commercial,blr,6.38
2010-01-01,commercial,blr,5.51
2011-01-01,commercial,blr,6.2700000000000005
2012-01-01,commercial,blr,6.53
2013-01-01,commercial,blr,6.53
2014-01-01,commercial,blr,6.5333333333333306
2015-01-01,commercial,blr,6.786538461538461
2016-01-01,commercial,blr,6.792
2017-01-01,commercial,blr,6.650399999999999
2018-01-01,commercial,blr,6.719199999999998
2019-01-01,commercial,blr,6.913749999999999
2020-01-01,commercial,blr,6.500416666666667
2021-01-01,commercial,blr,5.489583333333333
2022-01-01,commercial,blr,5.489583333333333
2023-01-01,commercial,blr,6.421739130434784
2024-01-01,commercial,blr,6.682608695652175
2023-01-01,commercial,wablr,6.503498655875421
2024-01-01,commercial,wablr,6.75290722563012
1997-01-01,commercial,alr,10.18
1998-01-01,commercial,alr,11.83
1999-01-01,commercial,alr,9.62
2000-01-01,commercial,alr,7.81
2001-01-01,commercial,alr,7.390000000000001
2002-01-01,commercial,alr,6.68
2003-01-01,commercial,alr,6.57
2004-01-01,commercial,alr,6.12
2005-01-01,commercial,alr,5.98
2006-01-01,commercial,alr,6.15
2007-01-01,commercial,alr,6.57
2008-01-01,commercial,alr,6.2700000000000005
2009-01-01,commercial,alr,5.7700000000000005
2010-01-01,commercial,alr,4.8500000000000005
2011-01-01,commercial,alr,4.95
2012-01-01,commercial,alr,4.87
2013-01-01,commercial,alr,4.7473
2014-01-01,commercial,alr,4.531033333333332
2015-01-01,commercial,alr,4.640014814814815
2016-01-01,commercial,alr,4.5575
2017-01-01,commercial,alr,4.558737037037037
2018-01-01,commercial,alr,4.6281037037037045
2019-01-01,commercial,alr,4.9793038461538455
2020-01-01,commercial,alr,4.577326923076923
2021-01-01,commercial,alr,3.362015384615385
2022-01-01,commercial,alr,3.2768240000000004
2023-01-01,commercial,alr,4.972447999999999
2024-01-01,commercial,alr,5.398704
1999-01-01,commercial,walr,9.669827802679729
2000-01-01,commercial,walr,7.939268143829711
2001-01-01,commercial,walr,7.382650747706381
2002-01-01,commercial,walr,6.84815958999014
2003-01-01,commercial,walr,6.798515975867226
2004-01-01,commercial,walr,6.411145915382027
2005-01-01,commercial,walr,6.294680629150156
2006-01-01,commercial,walr,6.4192710836420765
2007-01-01,commercial,walr,6.84
2008-01-01,commercial,walr,6.67
2009-01-01,commercial,walr,6.23
2010-01-01,commercial,walr,5.33
2011-01-01,commercial,walr,5.63
2012-01-01,commercial,walr,5.66
2013-01-01,commercial,walr,5.49
2014-01-01,commercial,walr,5.366960893239967
2015-01-01,commercial,walr,5.47
2016-01-01,commercial,walr,5.41
2017-01-01,commercial,walr,5.201534482769024
2018-01-01,commercial,walr,5.266273239853324
2019-01-01,commercial,walr,5.365545264039082
2020-01-01,commercial,walr,4.969935219088615
2021-01-01,commercial,walr,3.890882388225898
2022-01-01,commercial,walr,3.7968637267932137
2023-01-01,commercial,walr,4.808144810158503
2024-01-01,commercial,walr,5.123181409923617
1997-01-01,investment,fdr_1mo,7.31
1998-01-01,investment,fdr_1mo,12.63
1999-01-01,investment,fdr_1mo,6.18
2000-01-01,investment,fdr_1mo,3.13
2001-01-01,investment,fdr_1mo,3.06
2002-01-01,investment,fdr_1mo,2.86
2003-01-01,investment,fdr_1mo,2.83
2004-01-01,investment,fdr_1mo,2.81
2005-01-01,investment,fdr_1mo,2.74
2006-01-01,investment,fdr_1mo,2.89
2007-01-01,investment,fdr_1mo,3.47
2008-01-01,investment,fdr_1mo,3.46
2009-01-01,investment,fdr_1mo,2.59
2010-01-01,investment,fdr_1mo,2.08
2011-01-01,investment,fdr_1mo,2.87
2012-01-01,investment,fdr_1mo,2.91
2013-01-01,investment,fdr_1mo,3.0665
2014-01-01,investment,fdr_1mo,3.0300111111111114
2015-01-01,investment,fdr_1mo,3.4598750000000003
2016-01-01,investment,fdr_1mo,3.4808
2017-01-01,investment,fdr_1mo,3.1979625000000005
2018-01-01,investment,fdr_1mo,3.3169500000000003
2019-01-01,investment,fdr_1mo,3.373
2020-01-01,investment,fdr_1mo,2.899775
2021-01-01,investment,fdr_1mo,1.954975
2022-01-01,investment,fdr_1mo,1.9635
2023-01-01,investment,fdr_1mo,2.7691250000000003
2024-01-01,investment,fdr_1mo,3.1987
1997-01-01,investment,fdr_3mo,7.31
1998-01-01,investment,fdr_3mo,12.44
1999-01-01,investment,fdr_3mo,6.23
2000-01-01,investment,fdr_3mo,3.15
2001-01-01,investment,fdr_3mo,3.15
2002-01-01,investment,fdr_3mo,2.88
2003-01-01,investment,fdr_3mo,2.88
2004-01-01,investment,fdr_3mo,2.86
2005-01-01,investment,fdr_3mo,2.75
2006-01-01,investment,fdr_3mo,3.04
2007-01-01,investment,fdr_3mo,3.54
2008-01-01,investment,fdr_3mo,3.54
2009-01-01,investment,fdr_3mo,2.85
2010-01-01,investment,fdr_3mo,2.26
2011-01-01,investment,fdr_3mo,3.1
2012-01-01,investment,fdr_3mo,3.3200000000000003
2013-01-01,investment,fdr_3mo,2.9535
2014-01-01,investment,fdr_3mo,3.2776500000000004
2015-01-01,investment,fdr_3mo,3.707625
2016-01-01,investment,fdr_3mo,3.6726
2017-01-01,investment,fdr_3mo,3.3556125000000003
2018-01-01,investment,fdr_3mo,3.2925625
2019-01-01,investment,fdr_3mo,3.634157142857143
2020-01-01,investment,fdr_3mo,3.2111375000000004
2021-01-01,investment,fdr_3mo,2.1423125
2022-01-01,investment,fdr_3mo,2.2178125
2023-01-01,investment,fdr_3mo,3.6020749999999992
2024-01-01,investment,fdr_3mo,3.611428571428572
1997-01-01,investment,fdr_6mo,7.32
